"Location","Sample","Antigen","Plate"
"2(1,B1)","African-Mix-Standard01","AMA1","RTSS_Chul.(SET2)_IgG1_3.25.24_MK"
"38(1,F5)","RCC-045-T08","AMA1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"38(1,F5)","RCC-045-T08","CSP","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"38(1,F5)","RCC-045-T08","PfGarp","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","AMA1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","pp28","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","Schisto","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","pp65","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","BSA","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","MSP1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","HRPII","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"79(1,G10)","RCC-060-T01","CelTos","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"80(1,H10)","RCC-060-T07","pp28","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"86(1,F11)","RAM-005","pp28","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"87(1,G11)","RAC-005-T01","AMA1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"87(1,G11)","RAC-005-T01","pp28","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"87(1,G11)","RAC-005-T01","MSP1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"90(1,B12)","RAM-006","HRPII","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"94(1,F12)","HCAM-001","AMA1","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"94(1,F12)","HCAM-001","pp28","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
"94(1,F12)","HCAM-001","BSA","RTSS_Chul.(SET2)_TotalIgG_3.25.24_AM"
